TerminalNode,VPUCode
130278703,107
130282097,107
130299223,107
130300899,107
130352277,107
130406866,107
130434224,107
130434418,107
130437804,107
130442985,107
130465093,107
130470127,107
130477137,107
130490842,107
130495814,107
130497666,107
130499255,107
130502756,107
130507726,107
130519740,107
130523159,107
130523409,107
130526723,107
130528425,107
130530118,107
130531774,107
130531791,107
130538829,107
130540507,107
130554069,107
130555757,107
130560952,107
130574534,107
130578116,107
130584771,107
130584872,107
130600398,107
130603654,107
130610574,107
130615603,107
130622633,107
130630999,107
130637970,107
130655207,107
130661995,107
130495084,108
130497234,108
130524159,108
130524444,108
130531012,108
130540014,108
130541268,108
130541558,108
130559055,108
130565524,108
130568699,108
130576178,108
130580988,108
130582442,108
130582577,108
130584093,108
130584714,108
130587808,108
130588145,108
130599832,108
130603190,108
130606674,108
130610099,108
130610258,108
130613519,108
130625411,108
130628578,108
130632490,108
130633719,108
130633753,108
130644211,108
130646216,108
130657771,108
130657950,108
130661291,108
130662882,108
130663085,108
130665094,108
130666484,108
130666596,108
130667963,108
130668011,108
130668447,108
130676841,108
130678348,108
130678418,108
130681709,108
130683385,108
130683577,108
130683637,108
130687343,108
130690633,108
130690892,108
130695809,108
130697332,108
130704012,108
130711047,108
130711124,108
130715909,108
130722864,108
130724835,108
130729654,108
130731366,108
130736449,108
130742191,108
130745580,108
130748422,108
130748594,108
130748624,108
130750761,108
130753607,108
130762167,108
130765697,108
130770757,108
130789607,108
130588133,109
130747391,109
140021829,110
140023281,110
140048030,110
140061127,110
140066953,110
140107688,110
140113522,110
140116423,110
140119343,110
140119351,110
140132444,110
140139722,110
140141180,110
140145556,110
140163003,110
140177570,110
140179028,110
140186303,110
140190656,110
140190668,110
140202316,110
140209596,110
140211047,110
140215415,110
140228478,110
140240136,110
140240151,110
140254707,110
140257614,110
140257628,110
140260522,110
140273651,110
140292558,110
140294026,110
140298364,110
140336225,110
140356603,110
140359497,110
140382813,110
140404619,110
140416262,110
140454109,110
140481776,110
140004362,111
140005819,111
140014552,111
140017462,111
140024741,111
140027655,111
140043667,111
140049484,111
140052399,111
140053850,111
140055310,111
140056766,111
140072779,111
140072976,111
140074229,111
140075953,111
140077143,111
140081777,111
140097808,111
140109436,111
140110893,111
140112346,111
140112351,111
140140015,111
140142955,111
140147464,111
140154606,111
140160466,111
140161916,111
140174991,111
140179452,111
140186670,111
140208511,111
140234867,111
140268352,111
140268381,111
140269835,111
140274157,111
140280048,111
140287306,111
140293121,111
140296020,111
140301842,111
140301888,111
