outletRiverId,groupId
110293414,101
110293477,101
110293540,101
110293692,103
110294399,102
110294833,101
110295100,103
110296116,101
110296304,103
110297026,102
110297402,101
110299017,103
110301343,101
110301434,101
110301628,103
110301649,103
110301680,103
110302625,101
110302899,103
110302996,103
110303577,102
110303591,102
110303883,101
110304065,101
110304069,101
110304206,103
110304889,102
110305200,101
110305282,101
110305283,101
110305534,103
110306822,103
110306880,103
110307888,101
110307899,101
110307987,101
110307993,101
110308134,103
110309190,101
110310508,101
110310791,103
110312171,103
110313242,101
110314440,101
110314469,101
110315746,101
110315818,101
110317079,101
110318657,103
110319292,102
110319684,101
110319775,101
110319783,101
110319986,103
110320048,103
110320606,102
110320616,102
110321238,103
110321954,102
110322483,103
110322679,103
110323734,101
110326250,101
110327871,103
110328516,102
110330433,103
110330479,103
110331136,102
110331512,101
110331595,101
110331852,103
110333011,103
110334118,101
110335446,101
110336858,101
110337694,102
110337695,102
110338022,101
110338128,101
110340759,101
110340804,101
110341949,101
110343349,101
110343387,101
110345570,102
110346008,101
110347309,101
110347312,101
110348578,101
110348836,103
110349508,102
110349814,101
110350014,103
110350018,103
110351298,101
110352443,101
110353758,101
110354759,102
110355183,101
110356402,101
110357768,101
110357808,101
110360430,101
110361318,102
110361627,101
110363045,101
110363936,102
110364338,101
110365248,102
110366863,101
110367002,101
110368296,101
110370929,101
110371000,103
110371809,102
110372111,101
110372345,103
110373591,101
110377058,102
110377514,101
110380077,101
110380090,101
110380092,101
110382757,101
110382782,101
110383989,101
110384026,101
110384045,101
110388087,103
110389255,101
110391490,102
110391738,101
110391935,101
110392805,102
110394115,102
110394520,101
110395429,102
110395752,101
110395837,101
110395855,101
110397165,101
110397286,103
110398054,102
110401100,101
110404608,102
110404611,102
110404619,102
110404621,102
110407235,102
110407544,101
110408544,102
110411500,101
110412486,102
110412894,101
110413794,102
110413803,102
110414204,101
110415116,102
110417729,102
110417737,102
110419049,102
110419330,101
110419564,103
110420353,102
110422978,102
110424698,101
110426134,103
110427316,101
110428628,101
110429548,102
110429834,101
110431377,103
110436498,101
110437415,102
110442659,102
110443068,101
110443979,102
110444384,101
110444460,103
110446595,102
110451843,102
110453168,102
110454975,103
110466277,102
110466561,101
110482024,102
110483335,102
110485181,103
110485959,102
110492537,102
110492736,102
110493834,102
110494343,103
110496459,102
110496938,103
110496967,103
110498275,103
110504820,103
110509586,102
110514020,103
110518768,102
110527989,102
110529278,102
